cols,importance,model_name
order_weekday,0.38518145949371835,tree
order_weekend,0.2616797759855307,tree
order,0.07104447655462207,tree
delta_avg,0.026070092220159703,tree
order_time_18,0.021042274148462353,tree
order_time_16,0.020631272979352647,tree
order_time_12,0.02009265652011911,tree
order_time_19,0.019563178814763542,tree
order_delivery,0.019535721174528786,tree
order_time_15,0.017989011308853012,tree
order_takeout,0.017328060305419554,tree
order_time_11,0.016421229602312484,tree
order_time_17,0.015536944136886856,tree
order_time_13,0.015217020738554939,tree
order_time_21,0.013581511971804471,tree
order_fin,0.013198161744565014,tree
order_time_14,0.007933865076722219,tree
order_time_20,0.006283572311798119,tree
order_cancel,0.00517704294586015,tree
store_青梅店,0.0045476993367812215,tree
store_高田馬場店,0.0026288578181986287,tree
store_足立店,0.0025292017701884877,tree
store_逗子店,0.002516991528062523,tree
store_大塚店,0.0024968890878748133,tree
store_八王子店,0.0024633371407564953,tree
store_蒲田店,0.0024121168810599127,tree
store_武蔵野店,0.0023410027367635894,tree
store_高座店,0.002221116605580074,tree
store_川越店,0.0008302156217183766,tree
store_保土ケ谷店,0.0005194199608575103,tree
store_さいたま緑店,0.0005001320861535957,tree
store_つくば店,0.00048569139197063917,tree
store_清瀬店,0.0,tree
store_港北店,0.0,tree
store_港南店,0.0,tree
store_瀬谷店,0.0,tree
store_熊谷店,0.0,tree
store_狛江店,0.0,tree
store_狭山店,0.0,tree
store_栃木店,0.0,tree
store_王子店,0.0,tree
store_町田店,0.0,tree
store_白井店,0.0,tree
store_目黒店,0.0,tree
store_相模原店,0.0,tree
store_石神井店,0.0,tree
store_東松山店,0.0,tree
store_磯子店,0.0,tree
store_神奈川店,0.0,tree
store_神田店,0.0,tree
store_渋谷店,0.0,tree
store_浦安店,0.0,tree
store_海老名店,0.0,tree
store_水戸店,0.0,tree
store_桐生店,0.0,tree
store_横浜南店,0.0,tree
store_横浜緑店,0.0,tree
store_柏店,0.0,tree
store_横須賀店,0.0,tree
store_板橋店,0.0,tree
store_武蔵村山店,0.0,tree
store_秦野店,0.0,tree
store_江戸川店,0.0,tree
store_栄店,0.0,tree
store_江東店,0.0,tree
store_池尻店,0.0,tree
store_池袋店,0.0,tree
store_松戸店,0.0,tree
store_泉店,0.0,tree
store_流山店,0.0,tree
store_浅草店,0.0,tree
store_浦和店,0.0,tree
store_福生店,0.0,tree
store_草加店,0.0,tree
store_稲城店,0.0,tree
store_立川店,0.0,tree
store_赤羽店,0.0,tree
store_越谷店,0.0,tree
store_足利店,0.0,tree
store_足柄上店,0.0,tree
store_那珂店,0.0,tree
store_都筑店,0.0,tree
store_金沢店,0.0,tree
store_銀座店,0.0,tree
store_鎌倉店,0.0,tree
store_青山店,0.0,tree
store_青葉店,0.0,tree
store_館林店,0.0,tree
store_駒沢店,0.0,tree
store_駒込店,0.0,tree
store_高円寺店,0.0,tree
store_高島平店,0.0,tree
store_高崎店,0.0,tree
store_高津店,0.0,tree
store_鴻巣店,0.0,tree
store_赤坂店,0.0,tree
store_谷中店,0.0,tree
store_調布店,0.0,tree
store_茂原店,0.0,tree
store_綾瀬店,0.0,tree
store_練馬店,0.0,tree
store_羽村店,0.0,tree
store_羽生店,0.0,tree
store_習志野店,0.0,tree
store_自由が丘店,0.0,tree
store_船橋店,0.0,tree
store_若葉店,0.0,tree
store_茅ヶ崎店,0.0,tree
store_西葛西店,0.0,tree
store_東尾久店,0.0,tree
store_荒川店,0.0,tree
store_荻窪店,0.0,tree
store_葛飾店,0.0,tree
store_藤沢店,0.0,tree
store_行田店,0.0,tree
store_西多摩店,0.0,tree
store_西東京店,0.0,tree
store_東村山店,0.0,tree
store_日本橋店,0.0,tree
store_東大和店,0.0,tree
store_君津店,0.0,tree
store_前橋店,0.0,tree
store_北千住店,0.0,tree
store_千葉中央店,0.0,tree
store_千葉緑店,0.0,tree
store_南砂店,0.0,tree
store_南足柄店,0.0,tree
store_厚木店,0.0,tree
store_取手店,0.0,tree
store_向島店,0.0,tree
store_和光店,0.0,tree
store_八潮店,0.0,tree
store_品川店,0.0,tree
store_四街道店,0.0,tree
store_国分寺店,0.0,tree
store_国立店,0.0,tree
store_坂戸店,0.0,tree
store_墨田店,0.0,tree
store_多摩店,0.0,tree
store_大久保店,0.0,tree
store_大井店,0.0,tree
store_六本木店,0.0,tree
store_八千代店,0.0,tree
store_東久留米店,0.0,tree
store_中店,0.0,tree
store_あきる野店,0.0,tree
store_さいたま南店,0.0,tree
store_さいたま西店,0.0,tree
store_三浦店,0.0,tree
store_三鷹店,0.0,tree
store_上尾店,0.0,tree
store_上野店,0.0,tree
store_世田谷店,0.0,tree
store_中原店,0.0,tree
store_中野店,0.0,tree
store_入間店,0.0,tree
store_久喜店,0.0,tree
store_九段店,0.0,tree
store_亀有店,0.0,tree
store_五反田店,0.0,tree
store_代々木店,0.0,tree
store_伊勢原店,0.0,tree
store_伊勢崎店,0.0,tree
store_佐倉店,0.0,tree
store_佐野店,0.0,tree
store_大和店,0.0,tree
store_大宮店,0.0,tree
store_大森店,0.0,tree
store_新座店,0.0,tree
store_恵比寿店,0.0,tree
store_愛甲店,0.0,tree
store_成城店,0.0,tree
store_成田店,0.0,tree
store_我孫子店,0.0,tree
store_戸塚店,0.0,tree
store_戸田店,0.0,tree
store_所沢店,0.0,tree
store_新宿店,0.0,tree
store_日立店,0.0,tree
store_大泉店,0.0,tree
store_日野店,0.0,tree
store_旭店,0.0,tree
store_春日部店,0.0,tree
store_昭島店,0.0,tree
store_木更津店,0.0,tree
store_本庄店,0.0,tree
store_本郷店,0.0,tree
store_杉並店,0.0,tree
store_東中野店,0.0,tree
store_志木店,0.0,tree
store_座間店,0.0,tree
store_府中店,0.0,tree
store_幸店,0.0,tree
store_大田店,0.0,tree
store_太田店,0.0,tree
store_宇都宮店,0.0,tree
store_守谷店,0.0,tree
store_宮前店,0.0,tree
store_富岡店,0.0,tree
store_富津店,0.0,tree
store_富里店,0.0,tree
store_小山店,0.0,tree
store_小平店,0.0,tree
store_小田原店,0.0,tree
store_小金井店,0.0,tree
store_川口店,0.0,tree
store_川崎多摩店,0.0,tree
store_川崎店,0.0,tree
store_巣鴨店,0.0,tree
store_市原店,0.0,tree
store_市川店,0.0,tree
store_平塚店,0.0,tree
store_鶴見店,0.0,tree
order_weekend,0.1850959330326906,RandomFores
order_weekday,0.10146040116084955,RandomFores
order,0.05387879931631465,RandomFores
order_delivery,0.047254478146968024,RandomFores
order_fin,0.04224036588230131,RandomFores
order_cancel,0.037865122626429944,RandomFores
order_takeout,0.03677467455601485,RandomFores
delta_avg,0.03597798093640337,RandomFores
order_time_16,0.035942433052664494,RandomFores
order_time_15,0.03511348245826607,RandomFores
order_time_19,0.035101858197514484,RandomFores
order_time_20,0.0343577190534544,RandomFores
order_time_17,0.0336720604397536,RandomFores
order_time_11,0.03326400708205835,RandomFores
order_time_13,0.03317497270581026,RandomFores
order_time_21,0.03304394060709288,RandomFores
order_time_14,0.032572857963394417,RandomFores
order_time_18,0.03110287048822079,RandomFores
order_time_12,0.030453978585823833,RandomFores
store_前橋店,0.0009455755297217259,RandomFores
store_港北店,0.000941483701431854,RandomFores
store_木更津店,0.0009347558264740273,RandomFores
store_東尾久店,0.0009335061787111318,RandomFores
store_久喜店,0.0008814940849138166,RandomFores
store_八千代店,0.0008752612478141698,RandomFores
store_高崎店,0.0008201591947632857,RandomFores
store_つくば店,0.0008193789947981117,RandomFores
store_池尻店,0.0008009594493002141,RandomFores
store_保土ケ谷店,0.0007973025394282326,RandomFores
store_町田店,0.0007831346333459102,RandomFores
store_熊谷店,0.0007808814952633235,RandomFores
store_逗子店,0.0007769731669012713,RandomFores
store_大塚店,0.000765349267079025,RandomFores
store_金沢店,0.0007463653971080173,RandomFores
store_磯子店,0.0007452399426384357,RandomFores
store_西東京店,0.0007429440928617083,RandomFores
store_六本木店,0.0007173933060701294,RandomFores
store_西葛西店,0.0007144922712784328,RandomFores
store_浅草店,0.0007064390686415069,RandomFores
store_武蔵村山店,0.0006943488419668612,RandomFores
store_葛飾店,0.0006889180855001741,RandomFores
store_さいたま緑店,0.000683375999466474,RandomFores
store_東大和店,0.000669838395318326,RandomFores
store_小田原店,0.000667969226883797,RandomFores
store_墨田店,0.0006637672414905188,RandomFores
store_千葉中央店,0.000658974532131249,RandomFores
store_狛江店,0.0006540719114307592,RandomFores
store_横浜南店,0.0006532606899691932,RandomFores
store_川口店,0.0006411063776714421,RandomFores
store_武蔵野店,0.0006404724268346149,RandomFores
store_銀座店,0.000636338573004109,RandomFores
store_坂戸店,0.0006309258779920115,RandomFores
store_柏店,0.0006264524996501905,RandomFores
store_取手店,0.0006221520382021867,RandomFores
store_横浜緑店,0.0006217969461115927,RandomFores
store_石神井店,0.0006140866007911971,RandomFores
store_船橋店,0.0006070095909911735,RandomFores
store_港南店,0.0006068421649606349,RandomFores
store_日立店,0.0006032969472305474,RandomFores
store_東中野店,0.0005860254902470979,RandomFores
store_大井店,0.0005803165969661252,RandomFores
store_昭島店,0.0005777377070288327,RandomFores
store_大和店,0.0005745762574580583,RandomFores
store_五反田店,0.0005703906634346338,RandomFores
store_鴻巣店,0.000566915112634332,RandomFores
store_我孫子店,0.0005653310037570115,RandomFores
store_九段店,0.0005648275949491491,RandomFores
store_高島平店,0.0005600529297853659,RandomFores
store_茅ヶ崎店,0.0005583977953413389,RandomFores
store_東松山店,0.000556945446616524,RandomFores
store_愛甲店,0.0005556701946476256,RandomFores
store_横須賀店,0.0005539738490543173,RandomFores
store_赤羽店,0.0005523227083380701,RandomFores
store_足立店,0.0005515789768958925,RandomFores
store_成城店,0.0005507600633036907,RandomFores
store_蒲田店,0.0005466274441124294,RandomFores
store_高田馬場店,0.0005418851335993926,RandomFores
store_藤沢店,0.0005366416942076053,RandomFores
store_成田店,0.000535088191665816,RandomFores
store_高座店,0.0005342167880473215,RandomFores
store_東久留米店,0.000533415613431812,RandomFores
store_大泉店,0.0005333135161926332,RandomFores
store_さいたま西店,0.0005313945629646014,RandomFores
store_新宿店,0.0005270798359891907,RandomFores
store_赤坂店,0.0005249395594638405,RandomFores
store_さいたま南店,0.0005238122626353907,RandomFores
store_品川店,0.0005230962644411013,RandomFores
store_君津店,0.0005179444804539536,RandomFores
store_小山店,0.0005169532788180088,RandomFores
store_杉並店,0.0005131812170857198,RandomFores
store_福生店,0.0005128205746276793,RandomFores
store_海老名店,0.0005082511363922658,RandomFores
store_相模原店,0.0005053878212113731,RandomFores
store_羽村店,0.0005041518021130398,RandomFores
store_渋谷店,0.0005003777749030508,RandomFores
store_恵比寿店,0.000499329165459634,RandomFores
store_駒沢店,0.0004961517969635186,RandomFores
store_高円寺店,0.000494323749769584,RandomFores
store_神田店,0.0004941412326151407,RandomFores
store_羽生店,0.0004931224866475902,RandomFores
store_小金井店,0.0004896811649713031,RandomFores
store_三鷹店,0.0004890671581635352,RandomFores
store_茂原店,0.00048744277846900566,RandomFores
store_浦和店,0.00048490976268026167,RandomFores
store_大田店,0.00047914951115143623,RandomFores
store_北千住店,0.00047604452736111,RandomFores
store_大森店,0.0004759785806273697,RandomFores
store_川越店,0.0004758040963872039,RandomFores
store_東村山店,0.00047484214746402044,RandomFores
store_志木店,0.0004737440345018715,RandomFores
store_宇都宮店,0.0004713240281387568,RandomFores
store_駒込店,0.0004712317124829757,RandomFores
store_流山店,0.00047081260345893406,RandomFores
store_府中店,0.0004706564924612432,RandomFores
store_調布店,0.0004669211477076164,RandomFores
store_川崎多摩店,0.00046448875207770164,RandomFores
store_多摩店,0.00046346624335886474,RandomFores
store_足柄上店,0.00046201309077147074,RandomFores
store_入間店,0.000461424651744219,RandomFores
store_亀有店,0.00045369086122977643,RandomFores
store_板橋店,0.0004522913344487598,RandomFores
store_越谷店,0.000449422665667173,RandomFores
store_向島店,0.00044773317307974505,RandomFores
store_西多摩店,0.00044427875016700083,RandomFores
store_座間店,0.00043880508145725886,RandomFores
store_代々木店,0.00043876550033963054,RandomFores
store_秦野店,0.0004385273083478147,RandomFores
store_神奈川店,0.0004355687137455086,RandomFores
store_南足柄店,0.00043543623194017826,RandomFores
store_中原店,0.0004354254006227522,RandomFores
store_松戸店,0.00043352759500455193,RandomFores
store_自由が丘店,0.0004334396877810437,RandomFores
store_王子店,0.00043086807314095146,RandomFores
store_本庄店,0.00042893757581452177,RandomFores
store_青梅店,0.0004277870897990423,RandomFores
store_鎌倉店,0.00042388773425176514,RandomFores
store_小平店,0.0004212623996953878,RandomFores
store_国立店,0.0004204507328907167,RandomFores
store_中野店,0.0004138694381978746,RandomFores
store_浦安店,0.0004133889061052036,RandomFores
store_巣鴨店,0.0004083089913341701,RandomFores
store_荻窪店,0.0004056465340289421,RandomFores
store_日本橋店,0.0004056272405314804,RandomFores
store_四街道店,0.00040473795708523627,RandomFores
store_瀬谷店,0.0004035766093816019,RandomFores
store_谷中店,0.00040354604629744094,RandomFores
store_那珂店,0.00039975624773207186,RandomFores
store_市川店,0.00039821428025141076,RandomFores
store_栃木店,0.0003941631532235204,RandomFores
store_稲城店,0.0003925704847392668,RandomFores
store_立川店,0.00039248634619945544,RandomFores
store_桐生店,0.00038864706952546334,RandomFores
store_伊勢崎店,0.0003786365189484241,RandomFores
store_伊勢原店,0.0003726923430913054,RandomFores
store_八王子店,0.0003682637898061604,RandomFores
store_荒川店,0.00036638464297003613,RandomFores
store_足利店,0.0003657408262595101,RandomFores
store_都筑店,0.00036063407438028815,RandomFores
store_鶴見店,0.000359014116691007,RandomFores
store_高津店,0.0003581461577351034,RandomFores
store_所沢店,0.00035584364524687405,RandomFores
store_戸田店,0.0003554246667840042,RandomFores
store_幸店,0.0003542124615339601,RandomFores
store_日野店,0.00035216652184446326,RandomFores
store_市原店,0.00034627346728410965,RandomFores
store_上野店,0.0003462080168524907,RandomFores
store_草加店,0.0003449522515854574,RandomFores
store_国分寺店,0.0003383019968238761,RandomFores
store_狭山店,0.0003377143779862807,RandomFores
store_白井店,0.00033756890327833245,RandomFores
store_南砂店,0.0003340518770532247,RandomFores
store_太田店,0.00033058623796767455,RandomFores
store_水戸店,0.00032996991179286126,RandomFores
store_池袋店,0.00032365549367231093,RandomFores
store_栄店,0.0003220542058286777,RandomFores
store_厚木店,0.00032164731250987317,RandomFores
store_館林店,0.0003161514791133912,RandomFores
store_泉店,0.0003153669702725448,RandomFores
store_和光店,0.0003149625478447438,RandomFores
store_佐野店,0.0003129406583576238,RandomFores
store_大宮店,0.0003115700801364204,RandomFores
store_大久保店,0.00031135212072349683,RandomFores
store_春日部店,0.0003102914854204844,RandomFores
store_目黒店,0.00029937144257586505,RandomFores
store_旭店,0.0002986054054846617,RandomFores
store_上尾店,0.00029832224669761693,RandomFores
store_習志野店,0.00029513907282742793,RandomFores
store_清瀬店,0.00028368288807877485,RandomFores
store_富里店,0.0002820903532366471,RandomFores
store_若葉店,0.0002813896366729155,RandomFores
store_新座店,0.00027585367767744384,RandomFores
store_青山店,0.0002754844139186564,RandomFores
store_八潮店,0.0002753373446973926,RandomFores
store_戸塚店,0.0002743011994078921,RandomFores
store_本郷店,0.00026450614197496354,RandomFores
store_守谷店,0.0002596361727968606,RandomFores
store_川崎店,0.00024817290867147493,RandomFores
store_千葉緑店,0.00024789417617326626,RandomFores
store_行田店,0.00024595816890515685,RandomFores
store_佐倉店,0.00024563116759781324,RandomFores
store_平塚店,0.00024319128346105963,RandomFores
store_江東店,0.00023955279796433166,RandomFores
store_富津店,0.00023491157457746932,RandomFores
store_富岡店,0.00023435875734333848,RandomFores
store_江戸川店,0.00022709063991581808,RandomFores
store_三浦店,0.0002170721004467713,RandomFores
store_青葉店,0.00018412813493631381,RandomFores
store_中店,0.0001640592165063722,RandomFores
store_綾瀬店,0.00015806794749088804,RandomFores
store_世田谷店,0.0001488952206950097,RandomFores
store_練馬店,0.0001471338133072242,RandomFores
store_あきる野店,0.00014397206193721265,RandomFores
store_宮前店,9.426275375584137e-05,RandomFores
order_weekend,0.43990421223539,GradientBoostingClassifier
order_weekday,0.400410808107504,GradientBoostingClassifier
order,0.03428915290316682,GradientBoostingClassifier
delta_avg,0.018742176292726696,GradientBoostingClassifier
order_time_21,0.01167102221439404,GradientBoostingClassifier
order_time_19,0.010382025696177794,GradientBoostingClassifier
order_cancel,0.010279521118981016,GradientBoostingClassifier
order_time_16,0.008270543675845362,GradientBoostingClassifier
order_takeout,0.007284389579383839,GradientBoostingClassifier
order_time_13,0.006901126829064373,GradientBoostingClassifier
order_time_11,0.006318961418445448,GradientBoostingClassifier
order_time_20,0.005677379024621277,GradientBoostingClassifier
order_time_12,0.005206423216701078,GradientBoostingClassifier
order_time_17,0.00502167124018072,GradientBoostingClassifier
order_time_14,0.004668534226792029,GradientBoostingClassifier
order_fin,0.004557066856337948,GradientBoostingClassifier
order_time_18,0.00400015086749248,GradientBoostingClassifier
order_delivery,0.002769991378227726,GradientBoostingClassifier
order_time_15,0.0016519265407761074,GradientBoostingClassifier
store_羽村店,0.0014647751039854467,GradientBoostingClassifier
store_秦野店,0.0010347031426612041,GradientBoostingClassifier
store_青山店,0.0009052019380456706,GradientBoostingClassifier
store_武蔵野店,0.0008643730794883814,GradientBoostingClassifier
store_北千住店,0.0008564546484988709,GradientBoostingClassifier
store_九段店,0.0007396161830830597,GradientBoostingClassifier
store_東大和店,0.0006507299222897351,GradientBoostingClassifier
store_中原店,0.0005667495630940984,GradientBoostingClassifier
store_駒沢店,0.0004872262229698895,GradientBoostingClassifier
store_川口店,0.00046769911247656666,GradientBoostingClassifier
store_蒲田店,0.0004596871946589309,GradientBoostingClassifier
store_亀有店,0.0004490224349927588,GradientBoostingClassifier
store_逗子店,0.0004318052350077002,GradientBoostingClassifier
store_大塚店,0.0004140259020504636,GradientBoostingClassifier
store_大和店,0.0004135594389377116,GradientBoostingClassifier
store_池尻店,0.00037899584839242383,GradientBoostingClassifier
store_八王子店,0.0003739301483405289,GradientBoostingClassifier
store_座間店,0.0003398871012941985,GradientBoostingClassifier
store_杉並店,0.0003090119614561442,GradientBoostingClassifier
store_本庄店,0.00023054545098194788,GradientBoostingClassifier
store_浦和店,0.00015422903941741904,GradientBoostingClassifier
store_銀座店,6.8790566792833e-07,GradientBoostingClassifier
store_柏店,0.0,GradientBoostingClassifier
store_王子店,0.0,GradientBoostingClassifier
store_瀬谷店,0.0,GradientBoostingClassifier
store_熊谷店,0.0,GradientBoostingClassifier
store_狛江店,0.0,GradientBoostingClassifier
store_狭山店,0.0,GradientBoostingClassifier
store_神田店,0.0,GradientBoostingClassifier
store_町田店,0.0,GradientBoostingClassifier
store_石神井店,0.0,GradientBoostingClassifier
store_白井店,0.0,GradientBoostingClassifier
store_目黒店,0.0,GradientBoostingClassifier
store_神奈川店,0.0,GradientBoostingClassifier
store_相模原店,0.0,GradientBoostingClassifier
store_磯子店,0.0,GradientBoostingClassifier
store_港南店,0.0,GradientBoostingClassifier
store_栃木店,0.0,GradientBoostingClassifier
store_港北店,0.0,GradientBoostingClassifier
store_江戸川店,0.0,GradientBoostingClassifier
store_桐生店,0.0,GradientBoostingClassifier
store_横浜南店,0.0,GradientBoostingClassifier
store_横浜緑店,0.0,GradientBoostingClassifier
store_横須賀店,0.0,GradientBoostingClassifier
store_武蔵村山店,0.0,GradientBoostingClassifier
store_水戸店,0.0,GradientBoostingClassifier
store_福生店,0.0,GradientBoostingClassifier
store_江東店,0.0,GradientBoostingClassifier
store_渋谷店,0.0,GradientBoostingClassifier
store_池袋店,0.0,GradientBoostingClassifier
store_泉店,0.0,GradientBoostingClassifier
store_浅草店,0.0,GradientBoostingClassifier
store_栄店,0.0,GradientBoostingClassifier
store_浦安店,0.0,GradientBoostingClassifier
store_海老名店,0.0,GradientBoostingClassifier
store_清瀬店,0.0,GradientBoostingClassifier
store_流山店,0.0,GradientBoostingClassifier
store_草加店,0.0,GradientBoostingClassifier
store_稲城店,0.0,GradientBoostingClassifier
store_立川店,0.0,GradientBoostingClassifier
store_越谷店,0.0,GradientBoostingClassifier
store_足利店,0.0,GradientBoostingClassifier
store_足柄上店,0.0,GradientBoostingClassifier
store_足立店,0.0,GradientBoostingClassifier
store_那珂店,0.0,GradientBoostingClassifier
store_都筑店,0.0,GradientBoostingClassifier
store_金沢店,0.0,GradientBoostingClassifier
store_鎌倉店,0.0,GradientBoostingClassifier
store_青梅店,0.0,GradientBoostingClassifier
store_青葉店,0.0,GradientBoostingClassifier
store_館林店,0.0,GradientBoostingClassifier
store_駒込店,0.0,GradientBoostingClassifier
store_高円寺店,0.0,GradientBoostingClassifier
store_高島平店,0.0,GradientBoostingClassifier
store_高崎店,0.0,GradientBoostingClassifier
store_高座店,0.0,GradientBoostingClassifier
store_高津店,0.0,GradientBoostingClassifier
store_高田馬場店,0.0,GradientBoostingClassifier
store_鴻巣店,0.0,GradientBoostingClassifier
store_赤羽店,0.0,GradientBoostingClassifier
store_赤坂店,0.0,GradientBoostingClassifier
store_谷中店,0.0,GradientBoostingClassifier
store_茅ヶ崎店,0.0,GradientBoostingClassifier
store_綾瀬店,0.0,GradientBoostingClassifier
store_練馬店,0.0,GradientBoostingClassifier
store_羽生店,0.0,GradientBoostingClassifier
store_習志野店,0.0,GradientBoostingClassifier
store_自由が丘店,0.0,GradientBoostingClassifier
store_船橋店,0.0,GradientBoostingClassifier
store_若葉店,0.0,GradientBoostingClassifier
store_茂原店,0.0,GradientBoostingClassifier
store_松戸店,0.0,GradientBoostingClassifier
store_調布店,0.0,GradientBoostingClassifier
store_荒川店,0.0,GradientBoostingClassifier
store_荻窪店,0.0,GradientBoostingClassifier
store_葛飾店,0.0,GradientBoostingClassifier
store_藤沢店,0.0,GradientBoostingClassifier
store_行田店,0.0,GradientBoostingClassifier
store_西多摩店,0.0,GradientBoostingClassifier
store_西東京店,0.0,GradientBoostingClassifier
store_西葛西店,0.0,GradientBoostingClassifier
store_板橋店,0.0,GradientBoostingClassifier
store_日本橋店,0.0,GradientBoostingClassifier
store_東松山店,0.0,GradientBoostingClassifier
store_八千代店,0.0,GradientBoostingClassifier
store_六本木店,0.0,GradientBoostingClassifier
store_前橋店,0.0,GradientBoostingClassifier
store_千葉中央店,0.0,GradientBoostingClassifier
store_千葉緑店,0.0,GradientBoostingClassifier
store_南砂店,0.0,GradientBoostingClassifier
store_南足柄店,0.0,GradientBoostingClassifier
store_厚木店,0.0,GradientBoostingClassifier
store_取手店,0.0,GradientBoostingClassifier
store_向島店,0.0,GradientBoostingClassifier
store_君津店,0.0,GradientBoostingClassifier
store_和光店,0.0,GradientBoostingClassifier
store_品川店,0.0,GradientBoostingClassifier
store_四街道店,0.0,GradientBoostingClassifier
store_国分寺店,0.0,GradientBoostingClassifier
store_国立店,0.0,GradientBoostingClassifier
store_坂戸店,0.0,GradientBoostingClassifier
store_墨田店,0.0,GradientBoostingClassifier
store_多摩店,0.0,GradientBoostingClassifier
store_大久保店,0.0,GradientBoostingClassifier
store_八潮店,0.0,GradientBoostingClassifier
store_入間店,0.0,GradientBoostingClassifier
store_大宮店,0.0,GradientBoostingClassifier
store_保土ケ谷店,0.0,GradientBoostingClassifier
store_あきる野店,0.0,GradientBoostingClassifier
store_さいたま南店,0.0,GradientBoostingClassifier
store_さいたま緑店,0.0,GradientBoostingClassifier
store_さいたま西店,0.0,GradientBoostingClassifier
store_つくば店,0.0,GradientBoostingClassifier
store_三浦店,0.0,GradientBoostingClassifier
store_三鷹店,0.0,GradientBoostingClassifier
store_上尾店,0.0,GradientBoostingClassifier
store_上野店,0.0,GradientBoostingClassifier
store_世田谷店,0.0,GradientBoostingClassifier
store_中店,0.0,GradientBoostingClassifier
store_中野店,0.0,GradientBoostingClassifier
store_久喜店,0.0,GradientBoostingClassifier
store_五反田店,0.0,GradientBoostingClassifier
store_代々木店,0.0,GradientBoostingClassifier
store_伊勢原店,0.0,GradientBoostingClassifier
store_伊勢崎店,0.0,GradientBoostingClassifier
store_佐倉店,0.0,GradientBoostingClassifier
store_佐野店,0.0,GradientBoostingClassifier
store_大井店,0.0,GradientBoostingClassifier
store_大森店,0.0,GradientBoostingClassifier
store_東村山店,0.0,GradientBoostingClassifier
store_志木店,0.0,GradientBoostingClassifier
store_愛甲店,0.0,GradientBoostingClassifier
store_成城店,0.0,GradientBoostingClassifier
store_成田店,0.0,GradientBoostingClassifier
store_我孫子店,0.0,GradientBoostingClassifier
store_戸塚店,0.0,GradientBoostingClassifier
store_戸田店,0.0,GradientBoostingClassifier
store_所沢店,0.0,GradientBoostingClassifier
store_新宿店,0.0,GradientBoostingClassifier
store_新座店,0.0,GradientBoostingClassifier
store_日立店,0.0,GradientBoostingClassifier
store_日野店,0.0,GradientBoostingClassifier
store_旭店,0.0,GradientBoostingClassifier
store_春日部店,0.0,GradientBoostingClassifier
store_昭島店,0.0,GradientBoostingClassifier
store_木更津店,0.0,GradientBoostingClassifier
store_本郷店,0.0,GradientBoostingClassifier
store_東中野店,0.0,GradientBoostingClassifier
store_東久留米店,0.0,GradientBoostingClassifier
store_東尾久店,0.0,GradientBoostingClassifier
store_恵比寿店,0.0,GradientBoostingClassifier
store_府中店,0.0,GradientBoostingClassifier
store_大泉店,0.0,GradientBoostingClassifier
store_幸店,0.0,GradientBoostingClassifier
store_大田店,0.0,GradientBoostingClassifier
store_太田店,0.0,GradientBoostingClassifier
store_宇都宮店,0.0,GradientBoostingClassifier
store_守谷店,0.0,GradientBoostingClassifier
store_宮前店,0.0,GradientBoostingClassifier
store_富岡店,0.0,GradientBoostingClassifier
store_富津店,0.0,GradientBoostingClassifier
store_富里店,0.0,GradientBoostingClassifier
store_小山店,0.0,GradientBoostingClassifier
store_小平店,0.0,GradientBoostingClassifier
store_小田原店,0.0,GradientBoostingClassifier
store_小金井店,0.0,GradientBoostingClassifier
store_川崎多摩店,0.0,GradientBoostingClassifier
store_川崎店,0.0,GradientBoostingClassifier
store_川越店,0.0,GradientBoostingClassifier
store_巣鴨店,0.0,GradientBoostingClassifier
store_市原店,0.0,GradientBoostingClassifier
store_市川店,0.0,GradientBoostingClassifier
store_平塚店,0.0,GradientBoostingClassifier
store_鶴見店,0.0,GradientBoostingClassifier
